function,version,bleu4,exact_match,codebert_sim
getTransaction(uint256)_v3_v0.8.10___262,0.8.10,0.0728,0,0.9688
"decreaseAllowance(address,uint256)_v1604_v0.8.9___263",0.8.9,0.4193,0,0.9915
"rageLeave(uint256,bool)_v0.8.1___264",0.8.1,0.0,0,0.9755
openTrading()_v127_v0.8.0___265,0.8.0,0.8492,0,0.9981
setMaxTx(uint256)_v2_v0.8.9___266,0.8.9,0.3247,0,0.9943
withdraw(uint256)_v21_v0.8.0___267,0.8.0,0.0,0,0.9824
setDev(address)_v2_v0.8.4___268,0.8.4,0.0,0,0.994
abort(uint256)_v2_v0.8.15___269,0.8.15,0.0,0,0.9867
"setSellFees(uint256,uint256,uint256,uint256,uint256,uint256)_v15_v0.8.7___270",0.8.7,0.0735,0,0.9936
"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256,uint256,address[],address,uint256)_v0.8.0___271",0.8.0,0.7918,0,0.9991
getMessage()_v0.8.16___272,0.8.16,0.3393,0,0.9964
rageQuit(address)_v0.8.0___273,0.8.0,0.0,0,0.9755
claimFee()_v0.8.0___274,0.8.0,0.0,0,0.9127
setPounge(uint256)_v0.8.0___275,0.8.0,0.0,0,0.9961
"setTokenURI(uint256,string)_v2_v0.8.0___276",0.8.0,0.5452,0,0.9978
draw(uint256)_v0.8.7___277,0.8.7,0.0,0,0.9782
withdrawEthToOwner(uint256)_v0.8.9___278,0.8.9,0.0,0,0.9969
burnBlackFunds(address)_v0.8.2___279,0.8.2,0.0,0,0.99
state(uint256)_v0.8.1___280,0.8.1,0.0,0,0.9626
"increaseAllowance(address,uint256)_v82_v0.8.6___281",0.8.6,0.4622,0,0.9777
"awarded(uint256,address)_v0.8.0___282",0.8.0,0.0,0,0.981
"getOrderTypedDataHash(address,bool,address,uint256,address,uint256,bytes32,uint256)_v0.8.0___283",0.8.0,0.0,0,0.9665
"setParameters(uint256,uint256,uint256)_v266_v0.8.16___284",0.8.16,0.0483,0,0.9727
"updateSellFees(uint256,uint256,uint256)_v8_v0.8.10___285",0.8.10,0.8624,0,1.0
buyFighter(uint256)_v0.8.2___286,0.8.2,0.0,0,0.9278
"setBuyFees(uint256,uint256,uint256,uint256,uint256,uint256)_v15_v0.8.7___287",0.8.7,0.3486,0,0.9968
openTrading()_v695_v0.8.0___288,0.8.0,0.8492,0,0.9988
"getUserInfo(address,address)_v0.8.0___289",0.8.0,0.0,0,0.8903
assetBalance(address)_v4_v0.8.2___290,0.8.2,0.2987,0,0.9856
meowStuff()_v2_v0.8.7___291,0.8.7,0.0,0,0.9743
Approve(address)_v3_v0.8.0___292,0.8.0,0.0,0,0.9764
"setDistributionCriteria(uint256,uint256)_v5_v0.8.10___293",0.8.10,0.0,0,0.9393
earned(address)_v0.8.10___294,0.8.10,0.0,0,0.9426
setPairAddress(address)_v0.8.0___295,0.8.0,0.0,0,0.992
"decreaseAllowance(address,uint256)_v5037_v0.8.0___296",0.8.0,0.231,0,0.994
"isApprovedForAll(address,address)_v208_v0.8.4___297",0.8.4,0.0,0,0.9144
startTrading()_v7_v0.8.10___298,0.8.10,0.0,0,0.9953
updateRewardCycleBlock(uint256)_v0.8.4___299,0.8.4,0.2043,0,0.9915
baseTokenURI()_v0.8.7___300,0.8.7,0.4833,0,0.979
openTrading()_v362_v0.8.0___301,0.8.0,0.7094,0,0.9959
manualapprove(uint256)_v0.8.4___302,0.8.4,0.0,0,0.9722
sweep(address)_v0.8.9___303,0.8.9,0.0,0,0.9936
"setOwner(address,address)_v0.8.13___304",0.8.13,0.0,0,0.9382
"stake(uint256,uint8)_v2_v0.8.0___305",0.8.0,0.0,0,0.9571
"isRoomRegistered(uint256,address)_v2_v0.8.0___306",0.8.0,0.0,0,0.9977
setTxLimit(uint256)_v3_v0.8.16___307,0.8.16,0.0,0,0.99
getDepositDetails(uint256)_v0.8.9___308,0.8.9,0.0,0,0.8733
updateMaxWalletAmount(uint256)_v619_v0.8.9___309,0.8.9,0.212,0,0.9859
compound()_v2_v0.8.10___310,0.8.10,0.0,0,0.9683
updateMaxTxAmount(uint256)_v0.8.11___311,0.8.11,0.4548,0,0.9957
