START
Wed Jun 24 16:19:20 +04 2026
cn270
resume: 0 stems already harvested
remaining: 109679
  [78600/109679] 4.8/s ETA 1.8h
  [78900/109679] 4.8/s ETA 1.8h
  [79200/109679] 4.8/s ETA 1.8h
  [79500/109679] 4.8/s ETA 1.7h
  [79800/109679] 4.8/s ETA 1.7h
  [80100/109679] 4.8/s ETA 1.7h
  [80400/109679] 4.8/s ETA 1.7h
  [80700/109679] 4.8/s ETA 1.7h
  [81000/109679] 4.8/s ETA 1.7h
  [81300/109679] 4.8/s ETA 1.6h
  [81600/109679] 4.8/s ETA 1.6h
  [81900/109679] 4.8/s ETA 1.6h
  [82200/109679] 4.8/s ETA 1.6h
  [82500/109679] 4.8/s ETA 1.6h
  [82800/109679] 4.8/s ETA 1.6h
  [83100/109679] 4.8/s ETA 1.5h
  [83400/109679] 4.8/s ETA 1.5h
  [83700/109679] 4.8/s ETA 1.5h
  [84000/109679] 4.8/s ETA 1.5h
  [84300/109679] 4.8/s ETA 1.5h
  [84600/109679] 4.8/s ETA 1.5h
  [84900/109679] 4.8/s ETA 1.4h
  [85200/109679] 4.8/s ETA 1.4h
  [85500/109679] 4.8/s ETA 1.4h
  [85800/109679] 4.8/s ETA 1.4h
  [86100/109679] 4.8/s ETA 1.4h
  [86400/109679] 4.8/s ETA 1.3h
  [86700/109679] 4.8/s ETA 1.3h
  [87000/109679] 4.8/s ETA 1.3h
  [87300/109679] 4.8/s ETA 1.3h
  [87600/109679] 4.8/s ETA 1.3h
  [87900/109679] 4.8/s ETA 1.3h
  [88200/109679] 4.8/s ETA 1.2h
  [88500/109679] 4.8/s ETA 1.2h
  [88800/109679] 4.8/s ETA 1.2h
  [89100/109679] 4.8/s ETA 1.2h
  [89400/109679] 4.8/s ETA 1.2h
  [89700/109679] 4.8/s ETA 1.2h
  [90000/109679] 4.8/s ETA 1.1h
  [90300/109679] 4.8/s ETA 1.1h
  [90600/109679] 4.8/s ETA 1.1h
  [90900/109679] 4.8/s ETA 1.1h
  [91200/109679] 4.8/s ETA 1.1h
  [91500/109679] 4.8/s ETA 1.1h
  [91800/109679] 4.8/s ETA 1.0h
  [92100/109679] 4.8/s ETA 1.0h
  [92400/109679] 4.8/s ETA 1.0h
  [92700/109679] 4.8/s ETA 1.0h
  [93000/109679] 4.8/s ETA 1.0h
  [93300/109679] 4.8/s ETA 0.9h
  [93600/109679] 4.8/s ETA 0.9h
  [93900/109679] 4.8/s ETA 0.9h
  [94200/109679] 4.8/s ETA 0.9h
  [94500/109679] 4.8/s ETA 0.9h
  [94800/109679] 4.8/s ETA 0.9h
  [95100/109679] 4.8/s ETA 0.8h
  [95400/109679] 4.8/s ETA 0.8h
  [95700/109679] 4.8/s ETA 0.8h
  [96000/109679] 4.8/s ETA 0.8h
  [96300/109679] 4.8/s ETA 0.8h
  [96600/109679] 4.8/s ETA 0.8h
  [96900/109679] 4.8/s ETA 0.7h
  [97200/109679] 4.8/s ETA 0.7h
  [97500/109679] 4.8/s ETA 0.7h
  [97800/109679] 4.8/s ETA 0.7h
  [98100/109679] 4.8/s ETA 0.7h
  [98400/109679] 4.8/s ETA 0.7h
