function,version,bleu4,exact_match,normalized_match
increaseTotal(uint256)_v0.8.3___330,0.8.3,0.0,0,0
swapToken()_v0.8.13___331,0.8.13,0.0,0,0
"release(address,address,uint256,uint256)_v0.8.7___332",0.8.7,0.0,0,0
"multiERC20Transfer(address,address[],uint256[])_v0.8.7___333",0.8.7,0.1635,0,0
getLastClaimTime(address)_v2_v0.8.10___334,0.8.10,0.4172,0,0
setBuyFee(uint256)_v0.8.17___335,0.8.17,0.0,0,0
"reflectionFromToken(uint256,bool)_v6_v0.8.9___336",0.8.9,0.5311,0,0
distributeFunds()_v0.8.0___337,0.8.0,0.0,0,0
tokenURI(uint256)_v3_v0.8.5___338,0.8.5,0.0,0,0
getPrice()_v2_v0.8.0___339,0.8.0,0.2099,0,0
"getPriorVotes(address,uint256)_v3_v0.8.0___340",0.8.0,0.9164,0,0
setStartTime(uint256)_v2_v0.8.0___341,0.8.0,0.0,0,1
autoUnlock(address)_v0.8.17___342,0.8.17,0.0,0,0
initContract()_v2_v0.8.10___343,0.8.10,0.0,0,0
"rescueTokens(address,address,uint256)_v0.8.17___344",0.8.17,0.0,0,0
"noise2d(int256,int256)_v0.8.7___345",0.8.7,0.0005,0,0
removeLimits()_v39_v0.8.18___346,0.8.18,0.424,0,0
setMinter(address)_v2_v0.8.0___347,0.8.0,0.0,0,0
isExcludedFromFee(address)_v0.8.12___348,0.8.12,0.4172,0,0
withdraw(uint256)_v13_v0.8.0___349,0.8.0,0.0,0,0
setMintPrice(uint256)_v0.8.13___350,0.8.13,1.0,1,1
initializeOwnable(address)_v0.8.4___351,0.8.4,0.3662,0,0
setMaxWalletLimit(uint256)_v0.8.10___352,0.8.10,0.0,0,0
getDecimalsOfAddress(address)_v0.8.0___353,0.8.0,0.0,0,0
setAllowListActive(bool)_v0.8.13___354,0.8.13,0.0,0,0
getPaused()_v0.8.3___355,0.8.3,0.7825,0,1
getBalance(address)_v0.8.16___356,0.8.16,0.0,0,0
getToken()_v0.8.0___357,0.8.0,0.4671,0,0
updateRewardsWallet(address)_v0.8.9___358,0.8.9,0.0,0,0
"getOwnerStatsTable(address,uint256,uint256,bool)_v0.8.7___359",0.8.7,0.0,0,0
